file,ID,titleStmt_author,titleStmt_title,author_birth,author_death,titleStmt_author_viaf,firstEdition_date,titleStmt_title_viaf,language,words,authorGender,size,reprintCount,timeSlot
SRP18964_AndraG_DespotovaVlastela.xml,SRP18964,"Гавриловић, Андра ",Деспотова властела : роман из српске прошлости : ELTeC издање,1864,1929,viaf:14822825 wikidata:Q4754652,1896,wikidata:Q109336071,српски,51288,M,medium,low,T3
SRP18965_KostaP_Neimari_saKrajem.xml,SRP18965,"Петровић, Коста ",Неимари : роман из новије српске историје : ELTeC издање,1858,1928,viaf:74867281 wikidata:Q108981078,1896,wikidata:Q109336109,српски,55063,M,medium,low,T3
SRP18966_JasaT_Nazareni.xml,SRP18966,"Томић, Јаша ",Назарени : роман : ELTeC издање,1856,1922,viaf:5742092 wikidata:Q6168574,1896,wikidata:Q109336108,српски,74956,M,medium,low,T3
SRP18970_StevanMat_GroficaAgnesa.xml,SRP18970,"Матијашић, Стеван М. ",Грофица Агнеша Јанковић : роман : ELTeC издање,????,?,wikidata:Q108983683,1897,wikidata:Q109335982,српски,71448,M,medium,low,T3
SRP18971_SvetolikR_GorskiCar.xml,SRP18971,"Ранковић, Светолик ",Горски цар : роман : ELTeC издање,1863,1899,viaf:29567902 wikidata:Q3978508,1897,wikidata:Q109335980,српски,64993,M,medium,high,T3
SRP18980_LazaL_Svabica.xml,SRP18980,"Лазаревић, Лаза К. ",Швабица : ELTeC издање,1851,1891,viaf:17270562 wikidata:Q975807,1898,wikidata:Q109336257,српски,13848,M,short,high,T3
SRP18990_MijatovicCy_KnezGradoje.xml,SRP18990,"Мијатовић, Чедомиљ ",Кнез Градоје од Орлова Града : приповетка из времена боја на Косову : ELTeC издање,1842,1932,viaf:42116339 wikidata:Q8079697,1899,wikidata:Q109336098,српски,45062,M,short,low,T3
SRP18991_BorisavS_UvelaRuza.xml,SRP18991,"Станковић, Борисав ",Увела ружа : ELTeC издање,1876,1927,viaf:76323147 wikidata:Q370392,1899,viaf:310476779 wikidata:Q109336249,српски,10080,M,short,high,T3
SRP18992_VelislavJ_LutajuceDuse.xml,SRP18992,"Јањић, Велислав ",Лутајуће душе : приповетка за поуку : намењено задругарству : ELTeC издање,????,?,wikidata:Q107204161,1899,wikidata:Q109336103,српски,31258,M,short,low,T3
SRP18993_SvetolikR_SeoskaUciteljica.xml,SRP18993,"Ранковић, Светолик ",Сеоска учитељица : роман : ELTeC издање,1863,1899,viaf:29567902 wikidata:Q3978508,1899,wikidata:Q109336239,српски,58821,M,medium,high,T3
SRP19000_SvetolikR_PoruseniIdeali.xml,SRP19000,"Ранковић, Светолик ",Порушени идеали : роман : ELTeC издање,1863,1899,viaf:29567902 wikidata:Q3978508,1900,wikidata:Q109336122,српски,57371,M,medium,high,T4
SRP19001_MilanovoSkolovanje.xml,SRP19001,"Тутуновић, Радојица В. ",Миланово школовање : ELTeC издање,????,?,wikidata:Q108983670,1900,wikidata:Q109336105,српски,69511,M,medium,low,T4
SRP19002_KrvaviZlocin.xml,SRP19002,"Кара-Радовановић, Павле ",Крвави злочин у браку без љубави : ELTeC издање,????,?,wikidata:Q108983666,1900,wikidata:Q109336101,српски,20414,M,short,low,T4
SRP19010_TodorP_Gila.xml,SRP19010,"Поповић, Тодор Љ. ",Гила : новела из сеоског живота : ELTeC издање,1870,1957,viaf:1325145856883922920245 wikidata:Q108983685,1901,wikidata:Q109303306,српски,34960,M,short,low,T4
